episode,step,force_max,force_tip,angle_bend,angle_bend_span,angle_centerline,dist_to_centerline,tip_index,inserted,arch_type
0,0,0.0,0.0,1.9957634182549293,6.089895652501893,8.357198428029637,0.8307516748674583,61,4.234004302978516,ArchType.II
0,1,0.0,0.0,2.273281499913659,9.789305520636114,20.583118270985445,1.0099635021404498,61,8.450952728271488,ArchType.II
0,2,0.0,0.0,2.5394907465125534,11.671425125746339,34.86354460595022,2.7432648758668865,61,12.6830274963379,ArchType.II
0,3,0.0,0.0,2.7558048551044574,13.1048023779398,49.250135279784566,5.219411865736908,61,16.835885345459005,ArchType.II
0,4,3.1152715389754073,3.1152715389754073,2.964702452527379,14.531295559846695,53.55017234348798,6.003947317498109,61,20.884897125244173,ArchType.II
0,5,1.1574208815646312,1.1574208815646312,3.0747821419867303,15.174599122380501,54.14231520991841,6.090462313171535,61,24.807709686279345,ArchType.II
0,6,1.0865660073502086,1.0865660073502086,3.1266428660652044,15.490693123425453,55.985044054810444,6.329183816989683,61,28.628882690429705,ArchType.II
0,7,0.6394456766721144,0.6394456766721144,3.1588625141693334,15.71001963639824,56.96774505053274,6.280650682952204,61,32.39244567871093,ArchType.II
0,8,0.6133936654882867,0.6133936654882867,3.1782493386273485,15.841747423383023,58.59140071738007,6.461295514260514,61,36.061582824707045,ArchType.II
0,9,0.4601016621682184,0.4601016621682184,3.1931799479332668,15.947382707543495,59.582558502470235,6.450873457431954,61,39.63398992919929,ArchType.II
0,10,0.4391950914884479,0.4391950914884479,3.203604335624532,16.017540402733193,60.74563866802435,6.490335118412176,61,43.102561035156384,ArchType.II
0,11,0.46078094992936525,0.46078094992936525,3.210932063570445,16.0648851480057,61.941459841360036,6.5671756646684205,61,46.461084472656395,ArchType.II
0,12,0.484216631515753,0.484216631515753,3.219999509674785,16.132910639626296,63.107315646672184,6.597210522098226,61,49.71403570556649,ArchType.II
0,13,0.4381368480022273,0.4381368480022273,3.2311974128367495,16.202224611672666,63.97047207111031,6.578753649426602,61,52.85906874084483,ArchType.II
0,14,0.45677459420876865,0.45677459420876865,3.244764614269998,16.289559418160255,65.14520096428107,6.578637003732113,61,55.90144506835945,ArchType.II
0,15,0.4675617009698219,0.4675617009698219,3.256936158439244,16.361406992509043,65.84247990798313,6.619531048475227,61,58.88117295837412,ArchType.II
0,16,0.4356293463540208,0.4356293463540208,3.2663219422550696,16.42353280805795,66.77785752829807,6.612945864996363,61,61.85412068176274,ArchType.II
0,17,0.4067633152233052,0.4067633152233052,3.2716649809642804,16.453411224132974,67.17482888151993,6.666948112090102,61,64.7807507781983,ArchType.II
0,18,0.38034638592884495,0.38034638592884495,3.2742302776647105,16.462935817130226,67.93262816814418,6.848855021663337,61,67.6701043090822,ArchType.II
0,19,0.3704936702276451,0.3704936702276451,3.275407457293312,16.466581520014845,68.34261097346855,7.035388461994098,61,70.64547003173831,ArchType.II
