wall_time,episode,steps,end_reason,success,ep_return,ep_cost,ep_penalty,reward_penalty_weight,force_mean,force_max,force_p95,steps_over_threshold,hinge_cost_shadow,shadow_max,shadow_tip,tip_mean,tip_max,tip_steps_over_threshold,excess_mean,excess_max,clamp_steps,inserted_final,path_length_at_reset,cost_fn,seed,arch_type,arch_seed,train_pool,env_instance
1785087613.6012943,0,200,steve_truncation,0,-0.8957059778157261,0.0,0.0,0.0,0.288248882507108,3.0726828989864385,0.4208498200111188,6,3.306932931249163,3.306932931249163,3.306932931249163,0.288248882507108,3.0726828989864385,6,0.016534664656245816,2.2226828989864384,0,108.63010074615546,308.83498767668135,ZeroCost,100,ArchType.II,481851,1,1
1785087627.252725,1,200,steve_truncation,0,-0.9009894126492436,0.0,0.0,0.0,0.36616665459762987,3.8684549967194273,0.5824175662895426,2,3.2402940217913536,3.2402940217913536,3.2402940217913536,0.3636770011936836,3.8684549967194273,2,0.01620147010895677,3.018454996719427,0,103.77882455444337,194.01515040754964,ZeroCost,100,ArchType.V,997949,1,1
1785087658.9496531,2,200,steve_truncation,0,-0.8064500188954671,0.0,0.0,0.0,0.9708864208317945,3.217936872806238,2.269541716486213,104,72.11636168887058,72.11636168887058,2.7524724620770336,0.1074180344303761,2.4210015858186695,3,0.3605818084443529,2.3679368728062378,0,201.84477867889453,339.5274055293794,ZeroCost,100,ArchType.II,739785,1,1
1785087675.1602054,3,200,steve_truncation,0,-0.8669189594330277,0.0,0.0,0.0,0.17461341600989413,0.5349623466070816,0.31148365480138407,0,0.0,0.0,0.0,0.08950509389500777,0.3174758542563395,0,0.0,0.0,0,141.5765615997311,195.9944925614702,ZeroCost,100,ArchType.V,767515,1,1
1785087685.3096113,4,200,steve_truncation,0,-0.9984473210946839,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.450098602294914,259.4838637051246,ZeroCost,100,ArchType.IV,454573,1,1
1785087699.232243,5,200,steve_truncation,0,-0.8596574522749066,0.0,0.0,0.0,0.188339280518937,0.917955249941271,0.502908294846855,2,0.07457638502315589,0.07457638502315589,0.006621135081884888,0.09478489200791987,0.8566211350818849,1,0.00037288192511577943,0.067955249941271,0,143.72901852417044,291.57934461054623,ZeroCost,100,ArchType.I,558788,1,1
1785087714.5357873,6,200,steve_truncation,0,-0.8666416394517841,0.0,0.0,0.0,0.34038296155523023,1.82404683391645,0.7863201478844563,9,1.956506672321934,1.956506672321934,1.956506672321934,0.11102956803822446,1.82404683391645,9,0.00978253336160967,0.97404683391645,0,134.8762179031381,329.9736133844859,ZeroCost,100,ArchType.I,84048,1,1
1785087728.0061545,7,200,steve_truncation,0,-0.8945868421106291,0.0,0.0,0.0,0.1921856374196885,3.028479682462808,0.2889809989730527,5,6.744855782807212,6.744855782807212,6.744855782807212,0.1921856374196885,3.028479682462808,5,0.03372427891403606,2.178479682462808,0,113.39541333770744,215.76641821383583,ZeroCost,100,ArchType.V,276213,1,1
1785087739.2993295,8,200,steve_truncation,0,-0.9934489870839623,0.0,0.0,0.0,0.34449592117611116,2.975819342160783,2.3562384557951903,35,37.13501735743414,37.13501735743414,37.13501735743414,0.34449592117611116,2.975819342160783,35,0.18567508678717068,2.1258193421607827,0,8.368552680969326,233.83930460609577,ZeroCost,100,ArchType.I,690819,1,1
1785087755.0458176,9,200,steve_truncation,0,-0.8766947418166724,0.0,0.0,0.0,0.15120827678586798,0.55414952112869,0.38690345375152113,0,0.0,0.0,0.0,0.03946337966970079,0.55414952112869,0,0.0,0.0,0,127.61742866515954,331.7499979916977,ZeroCost,100,ArchType.II,351641,1,1
1785087765.5310774,10,200,steve_truncation,0,-0.9990631066739185,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.4491866912842277,293.1246535554307,ZeroCost,100,ArchType.II,324436,1,1
1785087776.1130755,11,200,steve_truncation,0,-0.9968580538980923,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3.745274383544843,292.8754885308546,ZeroCost,100,ArchType.II,187130,1,1
1785087806.892288,12,200,steve_truncation,0,-0.8154677540327574,0.0,0.0,0.0,1.3346321992795784,6.006163686328236,3.6244484736045965,126,127.22448820677258,127.22448820677258,7.19446131216111,0.1489801844294029,4.300286884459913,11,0.6361224410338628,4.15,0,202.62663813781523,332.6982758153575,ZeroCost,100,ArchType.II,197757,1,1
1785087820.440149,13,200,steve_truncation,0,-0.8796513315037656,0.0,0.0,0.0,0.2497201777691239,2.607284391210699,0.40880724656041195,5,4.209756889116661,4.209756889116661,4.209756889116661,0.16569662067747248,2.607284391210699,5,0.021048784445583304,1.7572843912106988,0,125.41082658385886,244.22910990798002,ZeroCost,100,ArchType.IV,388039,1,1
1785087831.4138505,14,200,steve_truncation,0,-0.9998621284366858,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.11875409698485717,270.9332648566851,ZeroCost,100,ArchType.V,875424,1,1
1785087845.5484562,15,200,steve_truncation,0,-0.8723492181877379,0.0,0.0,0.0,0.09263863256082853,1.0389617845905963,0.19012248776167198,1,0.18896178459059632,0.18896178459059632,0.18896178459059632,0.08480139787425862,1.0389617845905963,1,0.0009448089229529816,0.18896178459059632,0,130.95393607330624,335.51684808114544,ZeroCost,100,ArchType.II,422647,1,1
1785087873.1960359,16,200,steve_truncation,0,-0.8102512180075537,0.0,0.0,0.0,1.2928435681935562,9.669395720033675,4.981800510190579,101,131.4606242448549,131.4606242448549,5.0205700206746755,0.24097250095293823,1.4060681441360017,25,0.6573031212242745,4.15,0,196.5541877212498,283.3703526007323,ZeroCost,100,ArchType.V,582379,1,1
1785087891.3843818,17,200,steve_truncation,0,-0.8354028116903972,0.0,0.0,0.0,0.25815878350850013,2.3354311468078652,0.9158120555785365,12,6.990873491288301,6.990873491288301,0.5350438178668905,0.07005264746223214,1.3850438178668905,1,0.03495436745644151,1.4854311468078651,0,179.5420029067992,224.8595094877931,ZeroCost,100,ArchType.IV,944927,1,1
1785087905.7349536,18,200,steve_truncation,0,-0.8638801171284981,0.0,0.0,0.0,0.12676467214538398,1.3323482413006362,0.55051959500324,2,0.552095520947907,0.552095520947907,0.552095520947907,0.060084952831539036,1.3323482413006362,2,0.0027604776047395353,0.48234824130063625,0,140.68929257965155,266.4419713675355,ZeroCost,100,ArchType.V,168215,1,1
1785087928.945595,19,200,steve_truncation,0,-0.796428613196323,0.0,0.0,0.0,1.1652964625349242,3.6243034398722958,1.9762617987858608,157,90.45556772531587,90.45556772531587,14.681700876651387,0.323819779308373,1.8181211920252798,35,0.4522778386265794,2.7743034398722957,0,225.81756840514976,225.2243332902843,ZeroCost,100,ArchType.I,189423,1,1
