wall_time,episode,steps,end_reason,success,ep_return,ep_cost,ep_penalty,reward_penalty_weight,force_mean,force_max,force_p95,steps_over_threshold,hinge_cost_shadow,shadow_max,shadow_tip,tip_mean,tip_max,tip_steps_over_threshold,excess_mean,excess_max,clamp_steps,inserted_final,path_length_at_reset,cost_fn,seed,arch_type,arch_seed,train_pool,env_instance
1785279018.7250051,0,200,steve_truncation,0,-0.7829966230477983,0.0,0.0,0.0,1.529300103771443,5.826002883318622,3.6628582868633153,131,178.10534115242447,178.10534115242447,1.487200057664444,0.02032599477871754,2.061155283101804,2,0.8905267057621223,4.15,0,228.91830300903732,308.83498767668135,ZeroCost,100,ArchType.II,481851,1,1
1785279029.8424637,1,200,steve_truncation,0,-0.8681667146816845,0.0,0.0,0.0,1.472064337390409,25.6807812464707,6.017065320303134,167,96.63407106045739,96.63407106045739,81.54179557389756,1.3295805985739348,25.6807812464707,153,0.4831703553022869,4.15,0,174.94732241058392,194.01515040754964,ZeroCost,100,ArchType.V,997949,1,1
1785279058.4846442,2,200,steve_truncation,0,-0.7809434361553975,0.0,0.0,0.0,1.4466091490619988,6.936447447472917,3.072087625371571,126,165.23589374041595,165.23589374041595,0.0,0.010165765416212448,0.5986764828884558,0,0.8261794687020797,4.15,0,242.95479177856427,339.5274055293794,ZeroCost,100,ArchType.II,739785,1,1
1785279094.1191196,3,200,steve_truncation,0,-0.8290166959456096,0.0,0.0,0.0,13.500428208804594,22.99049738982434,20.823171804056887,163,625.9990481732534,625.9990481732534,625.4607977142045,13.4349703175715,22.095792768399722,163,3.129995240866267,4.15,0,189.56519674682642,195.9944925614702,ZeroCost,100,ArchType.V,767515,1,1
1785279114.3694983,4,200,steve_truncation,0,-0.7629802266421659,0.0,0.0,0.0,2.8600575163454733,57.2362968681391,13.316433995918102,133,206.41326635383507,206.41326635383507,12.972365890665888,0.11198364109336527,3.319533140388187,8,1.0320663317691754,4.15,0,216.80018975067557,259.4838637051246,ZeroCost,100,ArchType.IV,454573,1,1
1785279135.6447945,5,200,steve_truncation,0,-0.7827806374014935,0.0,0.0,0.0,2.2214486632929304,12.660369613163258,8.659912188438426,131,236.49812849131834,236.49812849131834,0.4078995583405126,0.017578403931938377,1.2578995583405126,1,1.1824906424565917,4.15,0,240.77756874084753,291.57934461054623,ZeroCost,100,ArchType.I,558788,1,1
1785279159.3049457,6,200,steve_truncation,0,-0.7818784585369654,0.0,0.0,0.0,1.7373091483972514,7.8025652258503175,3.8801721632776918,139,196.34441632388652,196.34441632388652,1.1800051807130338,0.03234350756211863,2.030005180713034,1,0.9817220816194326,4.15,0,239.63017823792185,329.9736133844859,ZeroCost,100,ArchType.I,84048,1,1
1785279176.8126998,7,200,steve_truncation,0,-0.8410292894744285,0.0,0.0,0.0,0.49099223022789595,2.592004857391512,1.0748480454673264,14,6.737924981542733,6.737924981542733,2.0965296284002872,0.3890674571399552,2.592004857391512,2,0.03368962490771366,1.7420048573915121,0,171.30535905456833,215.76641821383583,ZeroCost,100,ArchType.V,276213,1,1
1785279205.089283,8,200,steve_truncation,0,-0.8352568384807425,0.0,0.0,0.0,152.7776107945499,6857.773478952075,291.6357104958261,154,432.18502416313277,432.18502416313277,71.38673794441686,0.7965461240245187,11.009743977952972,47,2.160925120815664,4.15,0,205.47864032745423,233.83930460609577,ZeroCost,100,ArchType.I,690819,1,1
1785279229.6624079,9,200,steve_truncation,0,-0.7602963493738235,0.0,0.0,0.0,1.9007197268581593,19.89389752601714,5.835088878727711,127,207.44413695076838,207.44413695076838,0.8564123084756571,0.0129496068922734,1.706412308475657,1,1.0372206847538419,4.15,0,256.7250528869694,331.7499979916977,ZeroCost,100,ArchType.II,351641,1,1
1785279251.392149,10,200,steve_truncation,0,-0.7814085098802721,0.0,0.0,0.0,1.7407182154874932,9.678966042368522,5.61868446962982,116,207.91610246242595,207.91610246242595,1.151317251596211,0.04110721257140871,1.8878306773119773,2,1.0395805123121298,4.15,0,224.47025740050964,293.1246535554307,ZeroCost,100,ArchType.II,324436,1,1
1785279278.4278514,11,200,steve_truncation,0,-0.7492327749258115,0.0,0.0,0.0,1.6403531753736467,6.772415710488408,4.853186818413822,125,174.6336288830298,174.6336288830298,0.0,0.06902057660138264,0.8186698432199849,0,0.8731681444151489,4.15,0,263.51305887604207,292.8754885308546,ZeroCost,100,ArchType.II,187130,1,1
1785279297.1382196,12,200,steve_truncation,0,-0.7877558676803632,0.0,0.0,0.0,1.9747140071021687,5.786168407677445,4.785634079368662,128,274.50697525182244,274.50697525182244,5.852908777223158,0.06644890202372178,5.786168407677445,5,1.3725348762591123,4.15,0,228.05158219909788,332.6982758153575,ZeroCost,100,ArchType.II,197757,1,1
1785279317.0171733,13,200,steve_truncation,0,-0.7842895342244229,0.0,0.0,0.0,1.8088608127443626,13.78286752858608,4.073617049454175,148,196.29335432997033,196.29335432997033,2.7914548422529952,0.038571424586873286,2.034146111324639,5,0.9814667716498516,4.15,0,209.73886323547293,244.22910990798002,ZeroCost,100,ArchType.IV,388039,1,1
1785279341.7233436,14,200,steve_truncation,0,-0.767301613683354,0.0,0.0,0.0,1.555887551505352,8.799016593709815,4.910302675544555,125,169.65542132278296,169.65542132278296,1.2891019629733635,0.02633370741834032,1.7480092620139678,2,0.8482771066139148,4.15,0,252.84456060027821,270.9332648566851,ZeroCost,100,ArchType.V,875424,1,1
1785279355.8498516,15,200,steve_truncation,0,-0.8135546010453042,0.0,0.0,0.0,1.1311675170473245,3.776389812605704,2.422609473870293,142,97.63287905176011,97.63287905176011,0.26728908268408436,0.15160036199343183,0.9515250468056039,4,0.48816439525880057,2.926389812605704,0,207.57660591125722,335.51684808114544,ZeroCost,100,ArchType.II,422647,1,1
1785279376.9780548,16,200,steve_truncation,0,-0.7964082325580388,0.0,0.0,0.0,2.0809887224335277,6.759600163215723,5.060806342695822,117,290.64786571308696,290.64786571308696,0.2585480978071587,0.046013845240551285,1.1085480978071587,1,1.4532393285654348,4.15,0,229.91830482482928,283.3703526007323,ZeroCost,100,ArchType.V,582379,1,1
1785279395.404284,17,200,steve_truncation,0,-0.840155813624945,0.0,0.0,0.0,1.039608584113975,4.476709754480183,3.262704123798484,81,87.69600499592251,87.69600499592251,0.4196740494175005,0.014029428200141499,1.2696740494175005,1,0.4384800249796125,3.6267097544801827,0,192.65875691223144,224.8595094877931,ZeroCost,100,ArchType.IV,944927,1,1
1785279416.921433,18,200,steve_truncation,0,-0.7846988214791445,0.0,0.0,0.0,1.9834293755682921,13.447610331779385,6.050840542199288,125,229.55390745631342,229.55390745631342,7.436668239463156,0.063216510073384,4.000602635179077,4,1.147769537281567,4.15,0,241.63416184997774,266.4419713675355,ZeroCost,100,ArchType.V,168215,1,1
1785279437.974481,19,200,steve_truncation,0,-0.790090682502563,0.0,0.0,0.0,1.1756127532997513,4.151882649637389,2.264105920002135,150,88.42111434297607,88.42111434297607,0.23648780730188335,0.03135796892937633,1.0864878073018833,1,0.44210557171488035,3.3018826496373888,0,217.44103886413308,225.2243332902843,ZeroCost,100,ArchType.I,189423,1,1
1785279456.1871426,20,200,steve_truncation,0,-0.7902501700522166,0.0,0.0,0.0,1.4513340325194704,5.4108180225378835,3.4877084180544062,126,162.36863012778542,162.36863012778542,1.583508754242486,0.020101330162254908,2.122484554520883,2,0.8118431506389271,4.15,0,218.20078611755457,292.26094501665483,ZeroCost,100,ArchType.I,632042,1,1
1785279478.2341135,21,200,steve_truncation,0,-0.7852878296881707,0.0,0.0,0.0,2.009466092708791,8.785224041010498,4.42021083613778,134,271.3537784073426,271.3537784073426,0.14456346995497726,0.017178797402991056,0.9945634699549772,1,1.356768892036713,4.15,0,238.472580474852,316.83015211810357,ZeroCost,100,ArchType.V,154775,1,1
1785279496.2037544,22,200,steve_truncation,0,-0.8005199221530873,0.0,0.0,0.0,1.5148402133442016,16.30900445408071,4.148342433798408,120,142.20167217728914,142.20167217728914,0.0,0.00028284350595374983,0.034584722937203945,0,0.7110083608864457,4.15,0,213.91957943725137,321.8698378120227,ZeroCost,100,ArchType.II,201999,1,1
1785279515.8457,23,200,steve_truncation,0,-0.8158887709078654,0.0,0.0,0.0,1.093259895398999,4.520688463315523,2.5739580788941625,104,91.74916621039995,91.74916621039995,0.0,0.0018112344073488934,0.08100678058318338,0,0.45874583105199973,3.6706884633155226,0,190.91675360107476,284.1689509581481,ZeroCost,100,ArchType.II,882036,1,1
1785279537.3361356,24,200,steve_truncation,0,-0.7563236319621178,0.0,0.0,0.0,1.9226851746912599,12.980322945265787,5.9429633963729405,134,214.20047421673698,214.20047421673698,1.0138281733828602,0.04000375242634384,1.356038857443436,3,1.071002371083685,4.15,0,261.0114525756893,301.75306469594784,ZeroCost,100,ArchType.I,958165,1,1
1785279561.1891062,25,200,steve_truncation,0,-0.7821001671428072,0.0,0.0,0.0,2.3187918720583514,13.968269368790635,5.873329043163733,121,312.50792098740936,312.50792098740936,1.1859832453479227,0.02010176678948401,2.0359832453479227,1,1.5625396049370468,4.15,0,247.99902980041512,308.7095571697427,ZeroCost,100,ArchType.II,469964,1,1
1785279566.5251641,26,62,target_reached,1,0.8915907266515637,0.0,0.0,0.0,1.4333161468482434,11.598206252382862,4.629120875041734,27,47.488337832605964,47.488337832605964,0.0,0.0439143952910627,0.6712150136435462,0,0.7659409327839671,4.15,0,186.55403637695477,207.68613652171143,ZeroCost,100,ArchType.V,132766,1,1
