wall_time,episode,steps,end_reason,success,ep_return,ep_cost,force_mean,force_max,force_p95,steps_over_threshold,hinge_cost_shadow,excess_mean,excess_max,clamp_steps,inserted_final,path_length_at_reset,cost_fn,seed,arch_type,arch_seed,train_pool,env_instance
1784761881.149411,0,200,steve_truncation,0,-0.7710802507929465,0.0,2.4316491209255724,8.972676748367872,4.669725841308228,150,335.8730511993396,1.679365255996698,4.15,0,254.98101930236734,308.83498767668135,ZeroCost,100,ArchType.II,481851,1,1
1784761902.4254432,1,200,steve_truncation,0,-0.8383646408522157,0.0,0.6567443424125193,3.7885435355276713,1.5094198675112878,36,21.12401145671225,0.10562005728356125,2.9385435355276712,0,167.6213750305186,194.01515040754964,ZeroCost,100,ArchType.V,997949,1,1
1784761925.6352274,2,200,steve_truncation,0,-0.7903883717860816,0.0,2.0106495587234776,5.7491686156153765,5.064319123218264,151,257.2717182267066,1.286358591133533,4.15,0,228.92642813110535,339.5274055293794,ZeroCost,100,ArchType.II,739785,1,1
1784761942.887874,3,200,steve_truncation,0,-0.8262988233259814,0.0,0.956731869061378,4.7887010586851355,1.8485652955475307,129,55.423259660580584,0.2771162983029029,3.9387010586851354,0,175.0354084320087,195.9944925614702,ZeroCost,100,ArchType.V,767515,1,1
1784761970.0148718,4,200,steve_truncation,0,-0.7671818429293971,0.0,3.136499960099244,36.33555973860096,10.669871042674322,151,255.16791801758785,1.2758395900879393,4.15,0,234.0793535079971,259.4838637051246,ZeroCost,100,ArchType.IV,454573,1,1
1784761985.3810651,5,200,steve_truncation,0,-0.7992753479113596,0.0,1.2765176439482453,3.721352250823477,2.508380527534215,158,107.34726458879754,0.5367363229439878,2.871352250823477,0,218.32826181030347,291.57934461054623,ZeroCost,100,ArchType.I,558788,1,1
1784762006.9527948,6,200,steve_truncation,0,-0.7493676005687236,0.0,2.7746123031004832,29.310833037776767,8.428986177204287,157,267.21855435852024,1.3360927717926012,4.15,0,264.6318445282004,329.9736133844859,ZeroCost,100,ArchType.I,84048,1,1
1784762028.7445242,7,200,steve_truncation,0,-0.847274578355253,0.0,1.2627718558133412,5.781013721323446,3.0917899679440057,130,114.82618362126682,0.5741309181063341,4.15,0,208.9394413070705,215.76641821383583,ZeroCost,100,ArchType.V,276213,1,1
1784762128.141131,8,200,steve_truncation,0,-0.7999091055017151,0.0,244.85996445476536,1326.6864160260966,451.29694824663045,172,668.9424850203995,3.3447124251019975,4.15,114,385.4796557617201,233.83930460609577,ZeroCost,100,ArchType.I,690819,1,1
1784762150.9350338,9,200,steve_truncation,0,-0.7571507571778668,0.0,2.4077527291835272,13.264018989399986,5.808329765604688,152,300.4125555390733,1.5020627776953666,4.15,0,262.15085441589355,331.7499979916977,ZeroCost,100,ArchType.II,351641,1,1
1784762173.3901908,10,200,steve_truncation,0,-0.7848967544761875,0.0,1.5589982230438135,12.339994938692758,5.970140252516657,95,148.3080848250057,0.7415404241250285,4.15,0,223.5482227172834,293.1246535554307,ZeroCost,100,ArchType.II,324436,1,1
1784762196.4275422,11,200,steve_truncation,0,-0.7405596188517216,0.0,1.9209825851046483,7.5459040296232,3.5876929111682747,147,226.4806545323842,1.1324032726619209,4.15,0,261.80110079193133,292.8754885308546,ZeroCost,100,ArchType.II,187130,1,1
1784762216.4385571,12,200,steve_truncation,0,-0.7971227606144757,0.0,2.101288957717735,5.918858660663234,5.339434133509436,116,294.2978608189868,1.471489304094934,4.15,0,227.34954818725396,332.6982758153575,ZeroCost,100,ArchType.II,197757,1,1
1784762233.6527498,13,200,steve_truncation,0,-0.7843266021375054,0.0,2.020360663313667,13.313435269469725,5.045891031017566,154,225.4275280493617,1.1271376402468085,4.15,0,213.16462034607153,244.22910990798002,ZeroCost,100,ArchType.IV,388039,1,1
1784762253.4329853,14,200,steve_truncation,0,-0.7471601952263227,0.0,2.180379179907026,13.855833279580194,6.258628490737706,157,250.03971605598701,1.2501985802799351,4.15,0,227.34428191376074,270.9332648566851,ZeroCost,100,ArchType.V,875424,1,1
1784762272.9266253,15,200,steve_truncation,0,-0.7921579891441376,0.0,1.8847212725164926,8.066350755250005,4.319159907523235,158,223.7314922217713,1.1186574611088564,4.15,0,225.8041938781725,335.51684808114544,ZeroCost,100,ArchType.II,422647,1,1
1784762291.1105385,16,200,steve_truncation,0,-0.8461154028765238,0.0,0.48518938855368604,6.731541138940665,1.1728667831821362,13,24.553911431757836,0.12276955715878918,4.15,0,166.36017591857936,283.3703526007323,ZeroCost,100,ArchType.V,582379,1,1
1784762310.4687908,17,200,steve_truncation,0,-0.8421495091057508,0.0,1.3625907554304986,6.876756051496142,3.1117298047544386,108,133.43655245839014,0.6671827622919507,4.15,0,194.82898779297088,224.8595094877931,ZeroCost,100,ArchType.IV,944927,1,1
1784762330.8940132,18,200,steve_truncation,0,-0.7959645207026649,0.0,2.5817094229748325,13.616436183106167,6.3998067134861785,152,326.07525310624476,1.6303762655312237,4.15,0,225.73652917480442,266.4419713675355,ZeroCost,100,ArchType.V,168215,1,1
1784762407.845512,19,200,steve_truncation,0,-0.8411535867041172,0.0,75.91818828052378,479.72994417531476,187.45060431152064,174,624.0685855519696,3.120342927759848,4.15,0,318.8007410354534,225.2243332902843,ZeroCost,100,ArchType.I,189423,1,1
1784762426.562134,20,200,steve_truncation,0,-0.7821018403227007,0.0,1.646759482584371,17.454872614200433,3.5273241925874146,128,175.43571202119975,0.8771785601059987,4.15,0,235.12874076843175,292.26094501665483,ZeroCost,100,ArchType.I,632042,1,1
1784762446.3381736,21,200,steve_truncation,0,-0.7859493124158703,0.0,1.805941536520773,10.025854267950658,4.089906259191568,148,211.20487294534442,1.056024364726722,4.15,0,231.7964512634276,316.83015211810357,ZeroCost,100,ArchType.V,154775,1,1
1784762472.1000445,22,200,steve_truncation,0,-0.7639242281441131,0.0,2.7809813712986595,25.612974706642458,7.84159755487378,149,288.55748438705893,1.4427874219352947,4.15,0,219.0957363891601,321.8698378120227,ZeroCost,100,ArchType.II,201999,1,1
1784762490.920691,23,200,steve_truncation,0,-0.8146430046404909,0.0,1.6109358233907312,4.22774040728466,2.5192409023347295,162,172.04102540706685,0.8602051270353342,3.37774040728466,0,200.80710375976696,284.1689509581481,ZeroCost,100,ArchType.II,882036,1,1
1784762513.575595,24,200,steve_truncation,0,-0.7477603621659372,0.0,2.1563587073121693,8.194951568436457,6.172856583997271,143,257.34688669694754,1.2867344334847377,4.15,0,225.67018827820056,301.75306469594784,ZeroCost,100,ArchType.I,958165,1,1
1784762538.7230701,25,200,steve_truncation,0,-0.799718165545071,0.0,1.677870608162478,2.9037226787818575,2.827446417170528,147,191.95734521586718,0.9597867260793359,2.0537226787818574,0,223.92889042663353,308.7095571697427,ZeroCost,100,ArchType.II,469964,1,1
1784762543.3488908,26,59,target_reached,1,0.907322968282118,0.0,2.510292096512336,36.908093489756965,9.622787481916639,34,56.6477016748554,0.9601305368619559,4.15,0,189.40385899353046,207.68613652171143,ZeroCost,100,ArchType.V,132766,1,1
1784762568.2110436,27,200,steve_truncation,0,-0.7854879434974281,0.0,2.3315177064437616,10.048049191432124,4.013750675061105,150,317.4593624053052,1.587296812026526,4.15,0,253.177011077878,313.04899749926744,ZeroCost,100,ArchType.I,638688,1,1
1784762588.784182,28,200,steve_truncation,0,-0.7978037665060848,0.0,1.6502153283048293,3.728263081736152,3.08695425733462,161,181.94122845991154,0.9097061422995577,2.878263081736152,0,217.40755043029694,289.1917330333786,ZeroCost,100,ArchType.II,752148,1,1
1784762678.6559286,29,200,steve_truncation,0,-0.8398998601836034,0.0,141.8630778290335,2388.5194149206795,544.5878512306659,172,617.7252272407137,3.0886261362035685,4.15,71,382.92166380309925,246.49118032074648,ZeroCost,100,ArchType.IV,723267,1,1
1784762694.5121224,30,200,steve_truncation,0,-0.7814471065236718,0.0,0.9709678549390952,4.166615882729632,1.9081158961646099,127,49.06540030333733,0.24532700151668663,3.3166158827296317,0,200.12699388122653,283.0679318273497,ZeroCost,100,ArchType.IV,553837,1,1
1784762698.6589453,31,54,target_reached,1,0.9128113199107679,0.0,1.2257854108782917,6.078808066049301,4.003118494975641,23,37.10266495819896,0.6870863881147955,4.15,0,180.28235757446325,188.6257415645156,ZeroCost,100,ArchType.IV,568832,1,1
1784762720.7444773,32,200,steve_truncation,0,-0.805000176274601,0.0,2.263209037529431,5.350495001785456,3.9739829211984197,157,308.49050062100343,1.5424525031050171,4.15,0,215.43093824768283,279.3364147827573,ZeroCost,100,ArchType.IV,507054,1,1
