wall_time,episode,steps,end_reason,success,ep_return,ep_cost,force_mean,force_max,force_p95,steps_over_threshold,hinge_cost_shadow,excess_mean,excess_max,clamp_steps,inserted_final,path_length_at_reset,cost_fn,seed,arch_type,arch_seed,train_pool,env_instance
1784761881.6618686,0,200,steve_truncation,0,-0.785587952381578,0.0,3.7993217612629633,12.057734659352603,6.769011335413587,166,567.6875110140708,2.838437555070354,4.15,0,238.38180429077494,308.83498767668135,ZeroCost,100,ArchType.II,481851,1,1
1784761885.9191208,1,45,target_reached,1,0.9651962574517696,0.0,2.0585649480752823,22.07690804233799,9.301154595672436,16,34.80912098647695,0.77353602192171,4.15,0,214.00917431640588,194.01515040754964,ZeroCost,100,ArchType.V,997949,1,1
1784761981.1337554,2,200,steve_truncation,0,-0.809814626874616,0.0,232.26265002422028,2969.292921474809,284.1227067551373,168,684.8522751574486,3.424261375787243,4.15,110,384.5541934814477,339.5274055293794,ZeroCost,100,ArchType.II,739785,1,1
1784761994.8292634,3,200,steve_truncation,0,-0.8446152337202927,0.0,3.143675558666159,32.8723333109445,10.456625127035396,123,311.53711910917286,1.5576855955458644,4.15,0,169.62138621521103,195.9944925614702,ZeroCost,100,ArchType.V,767515,1,1
1784762065.5983126,4,200,steve_truncation,0,-0.8000502407131128,0.0,173.76973414208092,2017.454642158309,794.6575365400755,168,550.1153483501139,2.7505767417505695,4.15,58,232.8823726196241,259.4838637051246,ZeroCost,100,ArchType.IV,454573,1,1
1784762149.4617739,5,200,steve_truncation,0,-0.7689318712750354,0.0,130.5190482065193,354.3057917790715,255.81605546445056,171,646.8615635143715,3.2343078175718576,4.15,83,383.69491096496495,291.57934461054623,ZeroCost,100,ArchType.I,558788,1,1
1784762294.147214,6,200,steve_truncation,0,-0.802157326453144,0.0,315.597638958049,10952.44449545327,559.6295732251809,169,685.0860661298752,3.4254303306493763,4.15,109,383.88694854735985,329.9736133844859,ZeroCost,100,ArchType.I,84048,1,1
1784762351.7136133,7,200,steve_truncation,0,-0.7951974432516185,0.0,115.45148240418486,2958.898409181441,313.92101249461354,168,616.0701240114904,3.080350620057452,4.15,93,383.8669756317166,215.76641821383583,ZeroCost,100,ArchType.V,276213,1,1
1784762370.9419062,8,200,steve_truncation,0,-0.7876772569020829,0.0,2.810355176732884,49.95702230508814,7.89810109858316,167,277.55666692289105,1.3877833346144552,4.15,0,205.25877108001674,233.83930460609577,ZeroCost,100,ArchType.I,690819,1,1
1784762430.7492225,9,200,steve_truncation,0,-0.7770398871594736,0.0,56.50640308957008,602.0252236948861,143.5407087044251,167,645.58194248151,3.22790971240755,4.15,89,385.2197973785409,331.7499979916977,ZeroCost,100,ArchType.II,351641,1,1
1784762482.2091012,10,200,steve_truncation,0,-0.7879663823608417,0.0,21.467967149352916,131.50807032766502,114.16280675235964,156,476.3461170755495,2.3817305853777473,4.15,0,252.60622830201322,293.1246535554307,ZeroCost,100,ArchType.II,324436,1,1
1784762511.3491368,11,200,steve_truncation,0,-0.7466059603556378,0.0,10.315756051763245,110.33712968208175,21.01308238964214,174,634.0028230129354,3.170014115064677,4.15,0,271.3078035430865,292.8754885308546,ZeroCost,100,ArchType.II,187130,1,1
1784762720.5573983,12,200,steve_truncation,0,-0.8357627040203967,0.0,480.4344780288892,5555.02471270785,2077.791829179984,168,676.7638863429881,3.3838194317149406,4.15,112,386.6051342163066,332.6982758153575,ZeroCost,100,ArchType.II,197757,1,1
1784762811.0719755,13,200,steve_truncation,0,-0.785020957693357,0.0,338.87141308508217,9735.443505596368,594.1246425272524,168,661.7038559587371,3.3085192797936855,4.15,78,376.3532037887603,244.22910990798002,ZeroCost,100,ArchType.IV,388039,1,1
1784762835.4767377,14,200,steve_truncation,0,-0.7570356053062788,0.0,3.186267120917271,67.21635255339176,7.385545926817075,171,365.86578036063895,1.8293289018031949,4.15,0,252.8923075256331,270.9332648566851,ZeroCost,100,ArchType.V,875424,1,1
1784762853.3135862,15,200,steve_truncation,0,-0.8146751645549165,0.0,0.9914902604112854,5.7347544058341295,2.2280898514713945,102,64.63764981788076,0.3231882490894038,4.15,0,205.45993809509602,335.51684808114544,ZeroCost,100,ArchType.II,422647,1,1
1784762930.7772229,16,200,steve_truncation,0,-0.8340186145958803,0.0,118.59351719209577,1359.2581476597243,354.4058101104951,157,612.6658373861128,3.063329186930564,4.15,91,384.89472955322105,283.3703526007323,ZeroCost,100,ArchType.V,582379,1,1
1784762938.9576259,17,76,target_reached,1,0.8395822663504334,0.0,2.0241795031176917,10.482967827844607,7.828951344502011,37,90.83583523758047,1.1952083583892168,4.15,0,235.75041885375992,224.8595094877931,ZeroCost,100,ArchType.IV,944927,1,1
1784763004.63433,18,200,steve_truncation,0,-0.8352085968146657,0.0,47.213244570618855,187.53201110057913,134.25147940210837,167,635.5902354998491,3.1779511774992453,4.15,21,382.5059421539299,266.4419713675355,ZeroCost,100,ArchType.V,168215,1,1
1784763009.4634578,19,47,target_reached,1,0.987626371387666,0.0,1.2872765779350537,6.66083023717532,4.155063258338239,23,33.00116975824137,0.7021525480476887,4.15,0,230.63661022949285,225.2243332902843,ZeroCost,100,ArchType.I,189423,1,1
1784763032.3431833,20,200,steve_truncation,0,-0.767088404958931,0.0,1.220857828964206,6.653798530933914,3.489296047380477,73,108.73330489449177,0.5436665244724588,4.15,0,213.14618675232225,292.26094501665483,ZeroCost,100,ArchType.I,632042,1,1
1784763110.0594752,21,200,steve_truncation,0,-0.7852254523657197,0.0,84.37018880384265,1439.3765789706245,326.3224301902528,167,600.4486801418318,3.002243400709159,4.15,65,385.3580810546866,316.83015211810357,ZeroCost,100,ArchType.V,154775,1,1
1784763139.7229404,22,200,steve_truncation,0,-0.7951703406284801,0.0,2.2993118586649777,23.30739461536657,6.809133626154115,128,230.61936444596748,1.1530968222298374,4.15,0,213.01859398651268,321.8698378120227,ZeroCost,100,ArchType.II,201999,1,1
1784763159.8909485,23,200,steve_truncation,0,-0.784434518890485,0.0,4.212994917690741,50.86869169213675,22.74484819775,152,244.0105664611312,1.2200528323056559,4.15,0,217.02885936737206,284.1689509581481,ZeroCost,100,ArchType.II,882036,1,1
1784763236.8122606,24,200,steve_truncation,0,-0.7721059199044553,0.0,47.99350447224896,234.6070303316346,122.51146473083625,170,660.1144946058754,3.300572473029377,4.15,78,384.9742229156474,301.75306469594784,ZeroCost,100,ArchType.I,958165,1,1
