wall_time,episode,steps,end_reason,success,ep_return,ep_cost,ep_penalty,reward_penalty_weight,force_mean,force_max,force_p95,steps_over_threshold,hinge_cost_shadow,shadow_max,shadow_tip,tip_mean,tip_max,tip_steps_over_threshold,excess_mean,excess_max,clamp_steps,inserted_final,path_length_at_reset,cost_fn,seed,arch_type,arch_seed,train_pool,env_instance
1785279017.024644,0,200,steve_truncation,0,-0.8119791337686365,0.0,0.0,0.0,1.036603105859536,2.6520566101138026,2.133863609826235,115,84.85399194136261,84.85399194136261,2.1433319344375494,0.11880772703364803,2.2641731585455083,2,0.424269959706813,1.8020566101138025,0,208.0973702926626,308.83498767668135,ZeroCost,100,ArchType.II,481851,1,1
1785279032.7326417,1,200,steve_truncation,0,-0.8365645882093942,0.0,0.0,0.0,0.7018544716841941,4.313330840764102,1.503269408430479,50,20.499421788007698,20.499421788007698,3.4661082499148903,0.06198882953114075,4.313330840764102,2,0.1024971089400385,3.4633308407641015,0,169.27185742187422,194.01515040754964,ZeroCost,100,ArchType.V,997949,1,1
1785279043.3521464,2,200,steve_truncation,0,-0.8515035879444796,0.0,0.0,0.0,0.45774189986688923,2.0220498092399297,0.6335138878398774,3,2.467919586886382,2.467919586886382,2.467919586886382,0.4256631047218616,2.0220498092399297,3,0.01233959793443191,1.1720498092399296,0,158.48790446471986,339.5274055293794,ZeroCost,100,ArchType.II,739785,1,1
1785279063.7733274,3,200,steve_truncation,0,-0.8272308873823774,0.0,0.0,0.0,0.4939481868687949,3.8076560427953496,1.523440969470509,28,18.03918490724504,18.03918490724504,0.3198456192073996,0.04627813946055539,1.1698456192073996,1,0.0901959245362252,2.9576560427953495,0,170.45450655364812,195.9944925614702,ZeroCost,100,ArchType.V,767515,1,1
1785279086.2486606,4,200,steve_truncation,0,-0.7618352090182641,0.0,0.0,0.0,3.142192139134464,59.304356707461565,9.941270907695692,151,177.01186771945066,177.01186771945066,55.8422157400917,0.765939861645903,11.293007473995468,45,0.8850593385972533,4.15,0,244.3905923919686,259.4838637051246,ZeroCost,100,ArchType.IV,454573,1,1
1785279105.567462,5,200,steve_truncation,0,-0.8222702014003128,0.0,0.0,0.0,1.0921342893721135,3.018120174297509,2.2860929954433296,111,101.41856593752702,101.41856593752702,3.3621721229755677,0.20058192738339994,3.018120174297509,3,0.5070928296876351,2.168120174297509,0,200.8731772766116,291.57934461054623,ZeroCost,100,ArchType.I,558788,1,1
1785279130.9631681,6,200,steve_truncation,0,-0.8261702715599416,0.0,0.0,0.0,1.1497118812422058,2.868150458897468,2.172099114038513,135,88.91154747873384,88.91154747873384,35.086364708279845,0.5590757344204591,2.868150458897468,43,0.44455773739366916,2.018150458897468,0,194.28514390563873,329.9736133844859,ZeroCost,100,ArchType.I,84048,1,1
1785279148.4003084,7,200,steve_truncation,0,-0.8505288769622015,0.0,0.0,0.0,1.4611775844649497,5.443669382828131,3.215534550127063,158,143.19072456376279,143.19072456376279,77.20409694821635,1.0283003995970992,3.8519540767924654,115,0.7159536228188139,4.15,0,189.1802358551004,215.76641821383583,ZeroCost,100,ArchType.V,276213,1,1
1785279164.6383803,8,200,steve_truncation,0,-0.82286834462495,0.0,0.0,0.0,1.217900149945839,8.653529446666488,2.872128971298232,169,84.34288214145563,84.34288214145563,1.1419383843797197,0.0854258992753302,1.4023225257940326,7,0.42171441070727816,4.15,0,202.41136042023373,233.83930460609577,ZeroCost,100,ArchType.I,690819,1,1
1785279182.351785,9,200,steve_truncation,0,-0.8190063060075622,0.0,0.0,0.0,1.1225834434667714,7.882688790107569,3.9361421966003953,94,104.78319636044876,104.78319636044876,0.5691106301087344,0.042353181707477795,1.3011650127752843,2,0.5239159818022437,4.15,0,194.81473458862186,331.7499979916977,ZeroCost,100,ArchType.II,351641,1,1
1785279196.2893405,10,200,steve_truncation,0,-0.8124515889580028,0.0,0.0,0.0,1.2107110169755375,4.2816564178104715,2.6302225043775938,137,116.03772361220256,116.03772361220256,6.589314961535826,0.06514814294413657,4.2816564178104715,5,0.5801886180610127,3.4316564178104714,0,203.22965956115794,293.1246535554307,ZeroCost,100,ArchType.II,324436,1,1
1785279216.0705078,11,200,steve_truncation,0,-0.7395286348138068,0.0,0.0,0.0,1.5407640462596108,8.881682873061687,4.556681777816873,103,146.33867999942282,146.33867999942282,5.379730310270898,0.26982295801319817,2.2267277942977786,13,0.7316933999971141,4.15,0,266.82303677368054,292.8754885308546,ZeroCost,100,ArchType.II,187130,1,1
1785279225.6879115,12,200,steve_truncation,0,-0.8479841021121303,0.0,0.0,0.0,0.6386282415817786,4.402626705789893,0.9359497345589733,45,10.37946114534553,10.37946114534553,10.37946114534553,0.631805185434562,4.402626705789893,45,0.051897305726727655,3.552626705789893,0,161.24074426269874,332.6982758153575,ZeroCost,100,ArchType.II,197757,1,1
1785279242.9775376,13,200,steve_truncation,0,-0.8041502631227864,0.0,0.0,0.0,1.870840856971925,15.33351674607723,3.287026428536488,162,190.5449091542101,190.5449091542101,10.343375651049909,0.15913031551228649,4.886702580350866,9,0.9527245457710505,4.15,0,206.19743366240962,244.22910990798002,ZeroCost,100,ArchType.IV,388039,1,1
1785279270.8291585,14,200,steve_truncation,0,-0.7504619930931443,0.0,0.0,0.0,3.204492220095974,29.28961137072511,9.525296447673043,165,356.20336626933374,356.20336626933374,50.96825766433322,0.6805017035588592,8.854736563879293,30,1.7810168313466688,4.15,0,262.94651766967405,270.9332648566851,ZeroCost,100,ArchType.V,875424,1,1
1785279281.585675,15,200,steve_truncation,0,-0.8604063759358314,0.0,0.0,0.0,0.293898596891657,1.1912983451245864,0.7818198204011608,5,0.8920575471998454,0.8920575471998454,0.8920575471998454,0.24703775923700122,1.1912983451245864,5,0.004460287735999227,0.34129834512458646,0,151.10769233703414,335.51684808114544,ZeroCost,100,ArchType.II,422647,1,1
1785279296.5484178,16,200,steve_truncation,0,-0.854687589132724,0.0,0.0,0.0,0.289142745021716,0.56502466251521,0.4296753638900165,0,0.0,0.0,0.0,0.1361959011304406,0.4347950999745565,0,0.0,0.0,0,156.8273281097408,283.3703526007323,ZeroCost,100,ArchType.V,582379,1,1
1785279310.314465,17,200,steve_truncation,0,-0.8939520772375145,0.0,0.0,0.0,0.14914895923294574,1.1204061565429024,0.20307677241646882,2,0.28982467025182324,0.28982467025182324,0.28982467025182324,0.027698176198319845,1.1204061565429024,2,0.0014491233512591163,0.27040615654290245,0,114.19743504333567,224.8595094877931,ZeroCost,100,ArchType.IV,944927,1,1
1785279329.3823786,18,200,steve_truncation,0,-0.8277875767528061,0.0,0.0,0.0,0.931272848444612,3.0919049756124544,2.607258778103733,79,89.03693766728702,89.03693766728702,8.902439867354548,0.18004056397063184,2.9154810840519514,15,0.4451846883364351,2.2419049756124543,0,199.19807983398692,266.4419713675355,ZeroCost,100,ArchType.V,168215,1,1
1785279333.9109669,19,52,target_reached,1,0.9599409170190745,0.0,0.0,0.0,1.3498614272170206,4.1614899953845805,3.64451785065728,30,37.105439857526676,37.105439857526676,8.690777717255312,0.44518850758822326,3.6050385309993365,9,0.7135661511062822,3.3114899953845804,0,210.86925699615486,225.2243332902843,ZeroCost,100,ArchType.I,189423,1,1
1785279343.5869527,20,200,steve_truncation,0,-0.8558311662304671,0.0,0.0,0.0,0.43595455484684437,3.419834791909938,0.68505480839867,5,5.465051796380537,5.465051796380537,5.465051796380537,0.38884785020002693,3.419834791909938,5,0.027325258981902686,2.569834791909938,0,155.56362036132967,292.26094501665483,ZeroCost,100,ArchType.I,632042,1,1
1785279362.7021337,21,200,steve_truncation,0,-0.8383804709017193,0.0,0.0,0.0,0.47326913148025496,2.827048953475575,1.2654206289117,57,16.49033205583094,16.49033205583094,8.66505140495665,0.3807791810227032,2.827048953475575,44,0.0824516602791547,1.9770489534755749,0,175.94862361145178,316.83015211810357,ZeroCost,100,ArchType.V,154775,1,1
