wall_time,episode,steps,end_reason,success,ep_return,ep_cost,ep_penalty,reward_penalty_weight,force_mean,force_max,force_p95,steps_over_threshold,hinge_cost_shadow,shadow_max,shadow_tip,tip_mean,tip_max,tip_steps_over_threshold,excess_mean,excess_max,clamp_steps,inserted_final,path_length_at_reset,cost_fn,seed,arch_type,arch_seed,train_pool,env_instance
1785174541.6162984,0,200,steve_truncation,0,-0.8897746708764482,0.0,0.0,0.0,0.18558623458503581,4.2202343630632395,0.19174383231031597,5,8.130228204449653,8.130228204449653,8.130228204449653,0.17343123674973032,4.2202343630632395,5,0.04065114102224826,3.3702343630632394,0,117.12458428954852,308.83498767668135,ZeroCost,100,ArchType.II,481851,1,1
1785174547.4181323,1,40,target_reached,1,0.9907101188695401,0.0,0.0,0.0,0.7602996673967056,3.9319428823317635,2.2486717075240272,13,12.772693090707467,12.772693090707467,8.323842579964492,0.5120772372523046,3.9319428823317635,8,0.3193173272676867,3.0819428823317634,0,199.81701513671948,194.01515040754964,ZeroCost,100,ArchType.V,997949,1,1
1785174592.9315479,2,200,steve_truncation,0,-0.8080771201246438,0.0,0.0,0.0,1.1891670675120753,3.4291627232916295,1.9826196831367355,144,104.4975721044076,104.4975721044076,0.5051202186503843,0.019108368185460002,1.1642765478509935,2,0.522487860522038,2.5791627232916294,0,212.6615556487988,339.5274055293794,ZeroCost,100,ArchType.II,739785,1,1
1785174599.1736164,3,42,target_reached,1,0.9823279662438738,0.0,0.0,0.0,0.4656950895527011,3.9017161962551596,2.82648677716529,5,8.977906833790687,8.977906833790687,4.42772287975478,0.16454889115553564,3.6838179754747715,2,0.21375968651882588,3.0517161962551596,0,194.7105702819821,195.9944925614702,ZeroCost,100,ArchType.V,767515,1,1
1785174638.230713,4,200,steve_truncation,0,-0.7838941205751054,0.0,0.0,0.0,2.2626199379092027,35.310757862044966,10.050018840606384,110,145.7977765263503,145.7977765263503,38.199816000488624,0.6782573513468663,3.784793107678817,81,0.7289888826317515,4.15,0,244.74755293274413,259.4838637051246,ZeroCost,100,ArchType.IV,454573,1,1
1785174680.949918,5,200,steve_truncation,0,-0.8243540895072039,0.0,0.0,0.0,1.0109033617340968,4.5645804052352394,2.0966815707440545,103,72.48394263552512,72.48394263552512,0.8245328813775609,0.019916759425020688,1.6745328813775608,1,0.3624197131776256,3.7145804052352394,0,193.48677009582406,291.57934461054623,ZeroCost,100,ArchType.I,558788,1,1
1785174733.820446,6,200,steve_truncation,0,-0.8035475883297818,0.0,0.0,0.0,1.369985543944192,3.2522119800473974,2.5062767613305823,149,129.8164348581958,129.8164348581958,0.6578728632698879,0.04687246914780979,1.487184092383943,2,0.649082174290979,2.4022119800473973,0,215.18668054199318,329.9736133844859,ZeroCost,100,ArchType.I,84048,1,1
1785174844.6183352,7,200,steve_truncation,0,-0.796515295271882,0.0,0.0,0.0,56.31898897044405,482.7642814730015,162.71759301457044,167,592.6745168984351,592.6745168984351,447.9574481585585,3.376986548077269,6.919319876807848,153,2.963372584492175,4.15,92,383.0427483139029,215.76641821383583,ZeroCost,100,ArchType.V,276213,1,1
1785174875.3648915,8,200,steve_truncation,0,-0.8246759474611415,0.0,0.0,0.0,2.1597006890759536,7.731926741192341,5.048534039432889,158,270.0775106237074,270.0775106237074,31.621066092680085,0.3450003978742407,2.801826654851248,34,1.350387553118537,4.15,0,184.1190099029546,233.83930460609577,ZeroCost,100,ArchType.I,690819,1,1
1785174935.8441014,9,200,steve_truncation,0,-0.8046202308252688,0.0,0.0,0.0,3.258770316205784,10.477906075292124,6.8577630089726584,151,467.22079754499157,467.22079754499157,53.10128657510095,0.5969178367625608,6.968547600135589,49,2.336103987724958,4.15,0,219.974893630985,331.7499979916977,ZeroCost,100,ArchType.II,351641,1,1
