wall_time,episode,steps,end_reason,success,ep_return,ep_cost,ep_penalty,reward_penalty_weight,force_mean,force_max,force_p95,steps_over_threshold,hinge_cost_shadow,excess_mean,excess_max,clamp_steps,inserted_final,path_length_at_reset,cost_fn,seed,arch_type,arch_seed,train_pool,env_instance
1784835298.8989224,0,200,steve_truncation,0,-0.8316014401729658,0.0,0.0,0.0,0.8341512253302216,3.115271552485662,2.0461308999958305,91,51.40889419075688,0.2570444709537844,2.265271552485662,0,174.66966212463677,308.83498767668135,ZeroCost,100,ArchType.II,481851,1,1
1784835305.2914183,1,61,target_reached,1,0.8833588989770381,0.0,0.0,0.0,0.7014407617589556,3.3749944154688825,2.294590707030246,15,12.633362953684179,0.20710431071613408,2.5249944154688824,0,193.7555824279778,194.01515040754964,ZeroCost,100,ArchType.V,997949,1,1
1784835329.7953582,2,200,steve_truncation,0,-0.7473439675450737,0.0,0.0,0.0,1.2779313070922682,7.146391239033686,3.1466565226418934,116,117.1423537295509,0.5857117686477545,4.15,0,223.3102466735852,339.5274055293794,ZeroCost,100,ArchType.II,739785,1,1
1784835346.4541607,3,200,steve_truncation,0,-0.8819232989955648,0.0,0.0,0.0,1.9490600408048768,48.149321036708216,8.077358491437332,77,112.1242882697963,0.5606214413489815,4.15,0,179.53792498779436,195.9944925614702,ZeroCost,100,ArchType.V,767515,1,1
1784835493.2911787,4,200,steve_truncation,0,-0.7570555306735377,0.0,0.0,0.0,432.9135168256919,14021.926008794217,1339.524161028052,168,617.7855441508914,3.088927720754457,4.15,105,385.694739868165,259.4838637051246,ZeroCost,100,ArchType.IV,454573,1,1
1784835518.6642911,5,200,steve_truncation,0,-0.7941655709674665,0.0,0.0,0.0,1.4778646972806662,10.087877401518135,3.510374336781683,121,141.22450675184592,0.7061225337592296,4.15,0,244.54385361480374,291.57934461054623,ZeroCost,100,ArchType.I,558788,1,1
1784835543.085228,6,200,steve_truncation,0,-0.7857897356880793,0.0,0.0,0.0,1.6960402175310287,10.35213294692314,3.560866777242705,163,169.03281029462835,0.8451640514731418,4.15,0,253.14658618163998,329.9736133844859,ZeroCost,100,ArchType.I,84048,1,1
1784835627.9061124,7,200,steve_truncation,0,-0.8085817034292306,0.0,0.0,0.0,252.7692947888714,4261.794798400001,425.4992881812326,167,665.9156350845356,3.329578175422678,4.15,110,383.4193557281473,215.76641821383583,ZeroCost,100,ArchType.V,276213,1,1
1784835648.2682903,8,200,steve_truncation,0,-0.7838925870259842,0.0,0.0,0.0,2.2771301750310275,41.42640072213209,5.851974705715523,165,233.36406259783996,1.1668203129891999,4.15,0,207.4098130569485,233.83930460609577,ZeroCost,100,ArchType.I,690819,1,1
1784835675.0045416,9,200,steve_truncation,0,-0.7487706854326062,0.0,0.0,0.0,2.236685678011879,16.792890007984656,6.415232915273454,145,249.6327731978696,1.248163865989348,4.15,0,251.04625169372957,331.7499979916977,ZeroCost,100,ArchType.II,351641,1,1
