wall_time,episode,steps,end_reason,success,ep_return,ep_cost,ep_penalty,reward_penalty_weight,force_mean,force_max,force_p95,steps_over_threshold,hinge_cost_shadow,shadow_max,shadow_tip,tip_mean,tip_max,tip_steps_over_threshold,excess_mean,excess_max,clamp_steps,inserted_final,path_length_at_reset,cost_fn,seed,arch_type,arch_seed,train_pool,env_instance
1785174545.7353537,0,200,steve_truncation,0,-0.8577046911181626,0.0,0.0,0.0,0.15248982848287806,3.1271143958539027,0.3394835950493948,2,3.134501407109913,3.134501407109913,3.134501407109913,0.0686543969462069,3.1271143958539027,2,0.015672507035549565,2.2771143958539026,0,148.7139022674553,308.83498767668135,ZeroCost,100,ArchType.II,481851,1,1
1785174564.1745145,1,200,steve_truncation,0,-0.8396208588087588,0.0,0.0,0.0,1.1851248096656481,25.15011625827848,1.9135727021874775,132,62.23387492912562,62.23387492912562,30.539553559409338,0.9478802378718774,25.15011625827848,36,0.3111693746456281,4.15,0,159.04684574127052,194.01515040754964,ZeroCost,100,ArchType.V,997949,1,1
1785174581.866908,2,200,steve_truncation,0,-0.8672662692673413,0.0,0.0,0.0,0.2551672768062108,2.3649701306011854,0.4815912178509337,3,2.673559970625933,2.673559970625933,2.673559970625933,0.20037041735486283,2.3649701306011854,3,0.013367799853129666,1.5149701306011853,0,143.2931970672593,339.5274055293794,ZeroCost,100,ArchType.II,739785,1,1
1785174625.0176847,3,200,steve_truncation,0,-0.8514259172630505,0.0,0.0,0.0,1.953531585907738,19.23012069623876,8.117045905143076,145,162.60503880986,162.60503880986,23.908157927038445,0.5632576589687136,8.956502175827149,74,0.8130251940493,4.15,0,196.23883519744587,195.9944925614702,ZeroCost,100,ArchType.V,767515,1,1
1785174650.189928,4,200,steve_truncation,0,-0.9226013615223095,0.0,0.0,0.0,0.3161444930878118,3.7223602028018994,0.8032387576576937,10,9.06510645228391,9.06510645228391,9.06510645228391,0.13987027697785892,3.7223602028018994,10,0.04532553226141955,2.8723602028018993,0,86.04194290161226,259.4838637051246,ZeroCost,100,ArchType.IV,454573,1,1
1785174671.144674,5,200,steve_truncation,0,-0.860534187497049,0.0,0.0,0.0,1.6167550455575752,11.021911227799393,4.393494734873692,107,187.9060563146124,187.9060563146124,187.4963670355164,1.5539758991115555,7.039016742666368,107,0.9395302815730621,4.15,0,150.90629495239193,291.57934461054623,ZeroCost,100,ArchType.I,558788,1,1
1785174688.1088781,6,200,steve_truncation,0,-0.8675216489833806,0.0,0.0,0.0,0.5562727218768666,1.4098142905726896,0.7961623184469203,2,0.612084892107301,0.612084892107301,0.5598142905726896,0.47831923123661085,1.4098142905726896,1,0.003060424460536505,0.5598142905726896,0,141.91228785705215,329.9736133844859,ZeroCost,100,ArchType.I,84048,1,1
1785174802.5448382,7,200,steve_truncation,0,-0.8100252440023509,0.0,0.0,0.0,57.133233747087246,441.8445936926489,179.2002050676306,168,668.3352292727022,668.3352292727022,20.165085718734808,0.21432506420156217,6.438661182208594,14,3.341676146363511,4.15,121,384.5168942565935,215.76641821383583,ZeroCost,100,ArchType.V,276213,1,1
1785174823.6609662,8,200,steve_truncation,0,-0.9006058040926886,0.0,0.0,0.0,0.192647713795295,1.3607113309003311,0.40531817491828537,1,0.5107113309003312,0.5107113309003312,0.5107113309003312,0.044379751377669106,1.3607113309003311,1,0.002553556654501656,0.5107113309003312,0,106.89077173614639,233.83930460609577,ZeroCost,100,ArchType.I,690819,1,1
1785174841.1412833,9,200,steve_truncation,0,-0.8665931383931462,0.0,0.0,0.0,0.1408222127494529,0.4491674967180434,0.21447046242471512,0,0.0,0.0,0.0,0.04915265580131467,0.4491674967180434,0,0.0,0.0,0,144.43014163207874,331.7499979916977,ZeroCost,100,ArchType.II,351641,1,1
