wall_time,episode,steps,end_reason,success,ep_return,ep_cost,ep_penalty,reward_penalty_weight,force_mean,force_max,force_p95,steps_over_threshold,hinge_cost_shadow,excess_mean,excess_max,clamp_steps,inserted_final,path_length_at_reset,cost_fn,seed,arch_type,arch_seed,train_pool,env_instance
1784894165.241239,0,200,steve_truncation,0,-0.8665758461238888,0.0,0.0,0.0,0.14563681646048623,2.742339971578735,0.18505622466738056,4,3.401919474706318,0.017009597373531592,1.892339971578735,0,137.525194763186,308.83498767668135,ZeroCost,100,ArchType.II,481851,1,1
1784894196.72783,1,200,steve_truncation,0,-0.8602541791187216,0.0,0.0,0.0,2.6238150885129072,24.22051562837101,5.097772504755468,173,321.3833718105642,1.606916859052821,4.15,0,169.1485246047923,194.01515040754964,ZeroCost,100,ArchType.V,997949,1,1
1784894219.3119314,2,200,steve_truncation,0,-0.8559743792903466,0.0,0.0,0.0,0.13692376296907816,1.6055878115462425,0.3362043817286181,2,0.9803373507573772,0.004901686753786886,0.7555878115462425,0,152.30597865295397,339.5274055293794,ZeroCost,100,ArchType.II,739785,1,1
1784894236.927144,3,200,steve_truncation,0,-0.832292431800712,0.0,0.0,0.0,0.7469510989612378,3.472282230011245,1.2691203392057975,80,27.16458325068612,0.1358229162534306,2.622282230011245,0,169.73992784880605,195.9944925614702,ZeroCost,100,ArchType.V,767515,1,1
1784894269.934978,4,200,steve_truncation,0,-0.7850126945206208,0.0,0.0,0.0,1.3839420770821957,33.788041037363804,3.5648968597683055,126,97.03190435356008,0.4851595217678004,4.15,0,224.6195968017579,259.4838637051246,ZeroCost,100,ArchType.IV,454573,1,1
1784894294.4926338,5,200,steve_truncation,0,-0.8586785475177382,0.0,0.0,0.0,0.1695768166364413,1.1547694739676764,0.33107033354506843,1,0.3047694739676764,0.001523847369838382,0.3047694739676764,0,151.5301322174099,291.57934461054623,ZeroCost,100,ArchType.I,558788,1,1
1784894322.9904683,6,200,steve_truncation,0,-0.8574457430137657,0.0,0.0,0.0,0.4727276840755363,2.214991528397134,0.9184782890719322,17,7.342391823742547,0.036711959118712736,1.364991528397134,0,152.37711878967187,329.9736133844859,ZeroCost,100,ArchType.I,84048,1,1
1784894459.4010887,7,200,steve_truncation,0,-0.7962253296423041,0.0,0.0,0.0,136.23012265824258,1751.1995364103884,417.0128922309706,160,573.4608271924762,2.867304135962381,4.15,67,384.22328081512416,215.76641821383583,ZeroCost,100,ArchType.V,276213,1,1
1784894520.4844635,8,200,steve_truncation,0,-0.8394469547113339,0.0,0.0,0.0,82.32972217997474,3534.292413515473,177.20526538929775,157,441.40602726377693,2.2070301363188847,4.15,0,333.63246328735227,233.83930460609577,ZeroCost,100,ArchType.I,690819,1,1
1784894538.9893286,9,200,steve_truncation,0,-0.8619967529572125,0.0,0.0,0.0,0.12207820978747082,0.35605007764028695,0.24241684925977872,0,0.0,0.0,0.0,0,147.21329705810393,331.7499979916977,ZeroCost,100,ArchType.II,351641,1,1
1784894554.5939415,10,200,steve_truncation,0,-0.8569518039231657,0.0,0.0,0.0,0.13083173265963602,2.000113807410928,0.17043829087239676,3,1.7128781639838717,0.008564390819919358,1.150113807410928,0,143.97665145873776,293.1246535554307,ZeroCost,100,ArchType.II,324436,1,1
1784894587.600944,11,200,steve_truncation,0,-0.8412133873172826,0.0,0.0,0.0,0.7391165076748851,1.9234267390702264,0.9345468401677148,61,4.731109646598492,0.02365554823299246,1.0734267390702263,0,165.1683807373082,292.8754885308546,ZeroCost,100,ArchType.II,187130,1,1
1784894603.4744594,12,200,steve_truncation,0,-0.8598054763639468,0.0,0.0,0.0,0.14380716701035404,5.05529256400171,0.38657495009897674,7,10.17987227733622,0.050899361386681094,4.15,0,146.7610214233437,332.6982758153575,ZeroCost,100,ArchType.II,197757,1,1
1784894863.83014,13,200,steve_truncation,0,-0.8386354440113288,0.0,0.0,0.0,508.9979010559175,7593.0884631429535,840.2836795124089,167,644.8806790204804,3.224403395102402,4.15,97,384.2661373596175,244.22910990798002,ZeroCost,100,ArchType.IV,388039,1,1
1784894910.154793,14,200,steve_truncation,0,-0.8341431544524565,0.0,0.0,0.0,0.6241990330546675,2.639991229896872,1.2185768770833556,74,15.104055130283161,0.07552027565141581,1.7899912298968719,0,176.05717727660777,270.9332648566851,ZeroCost,100,ArchType.V,875424,1,1
1784894923.1184,15,200,steve_truncation,0,-0.9428431345007986,0.0,0.0,0.0,0.039066439673806984,2.0132653229299273,0.0,4,2.5053861877390085,0.012526930938695042,1.1632653229299272,0,60.244582641601546,335.51684808114544,ZeroCost,100,ArchType.II,422647,1,1
1784894950.47548,16,200,steve_truncation,0,-0.8579492722751603,0.0,0.0,0.0,0.23309435829330302,0.5681061688092572,0.3247258415839411,0,0.0,0.0,0.0,0,148.93750979614146,283.3703526007323,ZeroCost,100,ArchType.V,582379,1,1
1784894971.6904976,17,200,steve_truncation,0,-0.895190568930969,0.0,0.0,0.0,0.13533974624846376,1.1558164614178,0.25934149672128726,1,0.30581646141779995,0.0015290823070889998,0.30581646141779995,0,111.92001609802392,224.8595094877931,ZeroCost,100,ArchType.IV,944927,1,1
1784894989.5606956,18,200,steve_truncation,0,-0.8562534113906418,0.0,0.0,0.0,0.14882611746131233,0.6962381178250046,0.46265061592998674,0,0.0,0.0,0.0,0,150.17761813354815,266.4419713675355,ZeroCost,100,ArchType.V,168215,1,1
1784894998.7697814,19,54,target_reached,1,0.9498088746110851,0.0,0.0,0.0,1.3947499201621258,5.42485713429186,4.791643518792405,25,47.41304869950353,0.8780194203611764,4.15,0,222.26097396850398,225.2243332902843,ZeroCost,100,ArchType.I,189423,1,1
1784895015.5130296,20,200,steve_truncation,0,-0.8820081146965401,0.0,0.0,0.0,0.13475468087375553,2.8607820180813572,0.2572228816837758,4,5.304212266909826,0.026521061334549133,2.010782018081357,0,123.18943452453736,292.26094501665483,ZeroCost,100,ArchType.I,632042,1,1
1784895037.1596844,21,200,steve_truncation,0,-0.8510187425650644,0.0,0.0,0.0,0.09420436354021323,1.8520281569848915,0.1153667057653233,3,1.4653126967521195,0.007326563483760598,1.0020281569848914,0,155.345767791749,316.83015211810357,ZeroCost,100,ArchType.V,154775,1,1
